Equivalent Radiated Power (ERP)  - Order 1.0
EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 1.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 10.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 18.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 20.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 3.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 4.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 6.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 8.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 9.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W)
0, NaN, 0, NaN, 0, NaN, 0, NaN, 0, NaN, 0, NaN, 0, NaN, 0, NaN, 0, NaN
40, -31.5113404, 40, 29.4643062, 40, 52.509842, 40, 55.0413271, 40, -3.83874998, 40, -1.03554656, 40, 14.1768453, 40, 17.6547585, 40, 20.5300099
80, -13.3880416, 80, 57.0151326, 80, 50.8898004, 80, 52.8192372, 80, 14.8299736, 80, 18.0868732, 80, 35.3528389, 80, 42.3420125, 80, 47.7347581
120, -2.71889254, 120, 50.6186561, 120, 58.2257989, 120, 55.435065, 120, 26.590358, 120, 31.0114751, 120, 52.5659747, 120, 48.7073291, 120, 46.0665838
160, 4.92625258, 160, 53.2471786, 160, 56.9856629, 160, 53.1012847, 160, 36.3108155, 160, 43.7941633, 160, 52.2369002, 160, 45.9580396, 160, 46.1434305
200, 10.9388917, 200, 60.0168831, 200, 53.0353885, 200, 50.9564149, 200, 46.4966291, 200, 51.4424325, 200, 49.3868301, 200, 49.1997917, 200, 53.2112637
240, 15.9427056, 240, 56.8810261, 240, 51.7183929, 240, 50.6465151, 240, 51.8957294, 240, 48.014158, 240, 49.1854675, 240, 56.3190951, 240, 53.5454151
280, 20.2751055, 280, 59.5230753, 280, 52.883119, 280, 52.9326342, 280, 53.8773252, 280, 45.8422883, 280, 51.2031393, 280, 53.3560996, 280, 51.5384141
320, 24.1433932, 320, 56.5926962, 320, 54.2682148, 320, 51.4877682, 320, 53.9361469, 320, 45.1724817, 320, 55.2180063, 320, 52.1442311, 320, 52.3671717
360, 27.6888563, 360, 54.5159896, 360, 52.6098371, 360, 50.5045013, 360, 51.5967477, 360, 45.4793311, 360, 54.4563954, 360, 52.5850386, 360, 49.8545567
