,EM Rotor Speed (rpm),ad003a,ad004a,ad005a,ad006a,ad007a,ad008a,ad009a,ad010a,ad011a,ad012a,ad013a,ad014a,ad015a,ad016a,ad017a,ad018a,ad019a,ad020a,ad021a,ad022a,ad023a,ad024a,ad025a,ad026a,ad027a,ad028a,ad029a,ad030a,ad031a,ad032a,ad033a,ad034a
0,EM Rotor Shaft (rpm),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,40,56.977220424068655,67.60335725010569,60.60776671067529,68.85504091355425,58.276910548448804,71.48760785740375,65.37185124662317,71.59470963308712,61.60002298549951,72.4437057145484,60.3012750264176,72.46449224762223,60.942564727799976,74.39726664055235,64.77156388323644,75.35713010712209,58.497128848246916,68.0057295307922,60.25689702178569,68.5278475178699,61.723969192594865,71.75508719840452,65.45206932391355,71.5691049745712,62.93963655966162,72.17595322386737,63.43650095616485,71.92666469503651,65.21197895951951,74.27473600621684,66.46793242516938,74.68237845195107
3,80,59.528392430200725,69.91582656521801,62.484277945312,70.81174355249803,60.59688135636979,73.48067378265439,65.44289541738581,73.5153115478275,62.745379109756826,74.17781887794656,62.426972581676935,74.17917830388562,56.87257822615325,75.43411958620871,61.29398938808023,76.52837087342195,62.35505436703038,70.17741705537999,64.21041115456474,70.85968104704739,63.58461842396441,73.57861586646608,65.19499441716461,73.60424033741461,62.097611814211184,74.12133613941646,63.499815022211614,74.00680589884166,62.27151563926861,75.49840415448257,63.85411527073457,76.24489186550072
4,120,61.54252950937247,71.27266972440536,64.56187174524126,72.35096069768909,62.70195517706809,74.3932690934325,69.82453454676138,74.26991158715991,67.53204010789747,75.13084852057182,66.10113009632869,75.25601387451208,62.48731410508129,77.53096320747348,67.48666593459501,78.15774529857916,64.21452650328828,71.57038168163704,65.46262586722422,72.8138734425445,67.01837429725983,74.5251922009499,70.14480279086088,74.3586710435943,68.9396708981713,75.2296688812763,70.01248708366751,74.97084106237187,68.61308035481136,77.48434359693955,70.92214375390198,77.71563840060136
5,160,60.75972686755341,69.02677416486537,62.65424005014209,70.48268643404403,63.80559729368507,75.18206822141434,69.78407314353231,74.85969633117455,67.5920596847433,75.02593863287683,66.39217884943167,75.28922485542456,66.86784506967139,76.82849312334457,70.32039793252437,77.15811343219757,63.90497695207924,69.90090590610514,64.50624198173878,71.45154070089168,66.53611112010579,75.23253054365458,69.97898463499608,74.86922922750435,69.11994781929864,75.24126242456225,69.72996340174473,75.0121649337956,71.77374390677123,76.99092744591749,72.48651029665852,77.00992287702194
6,200,62.77197928539885,69.70308084513215,62.61116414466837,70.66593550538133,63.86522673564505,75.31897952824531,68.04250062933797,75.27272927751768,66.6143363634214,76.20707695231576,65.06598617368878,76.36393874264532,63.88285945843442,77.99501931907935,67.30482686128909,78.32524923856576,67.27657651775932,70.05012430145078,67.71244294447081,71.06219555569024,67.20762138516675,75.79760697485193,68.91027770473367,75.6594867342983,68.22023305297434,76.70376269736718,69.29105348477174,76.5655882222773,69.75239322576445,78.08515044592652,70.55203552552994,78.2245283588964
7,240,62.324593091158185,67.82417058058567,62.90482839148092,68.88137823179824,64.64018321773433,78.59709313669808,68.95136683935996,78.56825561508458,66.16891458300384,79.49696548985216,66.45582833616976,79.47367720520657,65.49549583961412,79.90008521930277,68.2183289249586,79.97737029754933,67.37283222762862,69.19229121123693,67.51431009607312,70.16597474609051,66.87887721487724,78.7140352705539,69.50023579150334,78.70869470803615,68.72608958883377,79.6934071176265,69.89589780887512,79.54223448166215,70.11797514281804,79.91046498778938,70.69139379303566,79.79781799328914
8,280,63.13946864542566,67.08557111635939,62.68530637043594,68.42187659965066,66.6545619625456,80.13384914462718,69.73477285570658,80.15614551126453,67.67128950942913,80.96556890746061,68.17441222277718,81.02176324046621,67.97901081077268,81.16128667197427,70.05685186049828,81.32828296413567,67.01751071223346,68.55617599106967,67.03717675755935,69.79152562108084,68.03848548801783,80.10337767045152,70.30414812956364,80.24922580301248,68.74035926577778,80.96925119703472,70.18801190207614,81.00957037272265,70.84537192440345,81.08847892231829,71.72324299451242,81.14278727110717
9,320,62.586068702366546,66.7400355965355,62.36381650086942,68.34296695174868,67.38538410561715,78.96962792165971,69.9199356683525,78.94385160930648,69.64053706379647,79.8304382380872,70.17094554005786,79.83562051442225,70.56959561965198,81.38148395458705,71.88071749003899,81.4053194915731,67.12948248988214,68.30991653997461,66.94270034280149,69.77249719836746,68.80343404342823,79.03973050722387,70.4758494992056,79.07923977888753,70.4167122291245,79.90798507168138,71.71524119565444,79.91014144695399,72.26092873531407,81.50958697802587,72.97617103789743,81.45894638837214
